"","PDC016_MTG_P3WH10_001","PDC016_SSC_P4WA1_001","PDC026_MTG_P4WA3_001","PDC026_SSC_P4WA4_001","A019s12_MTG_P2WD10_001","A019s12_SSC_P2WE1_001","A319s11_MTG_P3WE2_001","A319s11_SSC_P3WE3_001","DPM13s19_MTG_P3WF9_001","DPM13s19_SSC_P3WF10_001","20130400_MTG_P1WH9_001","20130400_SSC_P1WH10_001","A048s13_MTG_P2WE9_001","A048s13_SSC_P2WE10_001","A064s13_MTG_P2WF8_001","A064s13_SSC_P2WF9_001","A301s10_MTG_P3WD9_001","A301s10_SSC_P3WD10_001","A127s11_MTG_P2WH3_001","A127s11_SSC_P2WH4_001","A053s11_MTG_P2WF5_001","A053s11_SSC_P2WF6_001","DPM13s42_MTG_P3WG2_001","DPM13s42_SSC_P3WG3_001","20131157_MTG_P2WA3_001","20131157_SSC_P2WA4_001","A051s14_MTG_P2WF2_001","A051s14_SSC_P2WF3_001","A096s14_MTG_P2WG7_001","A096s14_SSC_P2WG8_001","20141901_MTG_P2WA6_001","20141901_SSC_P2WA7_001","BC454s945_MTG_P3WF6_001","BC454s945_SSC_P3WF7_001","A282s14_MTG_P3WD4_001","A282s14_SSC_P3WD5_001","A402s14_MTG_P3WF1_001","A402s14_SSC_P3WF2_001","19920001_MTG_P1WA10_001","19920001_SSC_P1WB1_001","20050033_MTG_P1WF1_001","20050033_SSC_P1WF2_001","A248s10_MTG_P3WC2_001","A248s10_SSC_P3WC3_001","A153s12_MTG_P2WH8_001","A153s12_SSC_P2WH9_001","20050102_MTG_P1WF4_001","20050102_SSC_P1WF5_001","20030099_MTG_P1WE8_001","20030099_SSC_P1WE9_001","20060093_MTG_P1WF7_001","20060093_SSC_P1WF8_001","20060099_MTG_P1WF10_001","20060099_SSC_P1WG1_001","20110272_MTG_P1WG7_001","20110272_SSC_P1WG8_001","20110476_MTG_P1WG10_001","20110476_SSC_P1WH1_001","A187s96a_MTG_P3WB4_001","A187s96a_SSC_P3WB5_001","A013s03_MTG_P2WD7_001","A013s03_SSC_P2WD8_001","A029s04_MTG_P2WE6_001","A029s04_SSC_P2WE7_001","A166s04_MTG_P3WA7_001","A166s04_SSC_P3WA8_001","A074s05a_MTG_P2WG4_001","A074s05a_SSC_P2WG5_001","A210s05a_MTG_P3WB7_001","A210s05a_SSC_P3WB8_001","A329s10_MTG_P3WE5_001","A329s10_SSC_P3WE6_001","A253s12_MTG_P3WC4_001","A253s12_SSC_P3WC6_001","A277s12_MTG_P3WD1_001","A277s12_SSC_P3WD2_001","A272s15_MTG_P3WC8_001","A272s15_SSC_P3WC9_001","A354s16_MTG_P3WE8_001","A354s16_SSC_P3WE9_001","A115s17_MTG_P2WG10_001","A115s17_SSC_P2WH1_001","A163s17_MTG_P3WA4_001","A163s17_SSC_P3WA5_001","19950136_MTG_P1WD4_001","19950136_SSC_P1WD5_001","19960052_MTG_P1WD7_001","19960052_SSC_P1WD8_001","20150975_MTG_P2WB2_001","20150975_SSC_P2WB3_001","20152915_MTG_P2WB5_001","20152915_SSC_P2WB6_001","20174902_MTG_P2WB8_001","20174902_SSC_P2WB9_001","19891053_MTG_P1WA2_001","19891053_SSC_P1WA3_001","19920194_MTG_P1WB8_001","19920194_SSC_P1WB9_001","19920200_MTG_P1WC1_001","19920200_SSC_P1WC2_001","19950030_MTG_P1WD1_001","19950030_SSC_P1WD2_001","19980098_MTG_P1WE3_001","19980098_SSC_P1WE4_001","20185945_MTG_P2WC6_001","20185945_SSC_P2WC7_001","DPM16s44_MTG_P3WG5_001","DPM16s44_SSC_P3WG6_001","20196919_MTG_P2WD1_001","20196919_SSC_P2WD2_001","20196928_MTG_P2WD4_001","20196928_SSC_P2WD5_001"
"HAPLN2",109.943,599.529,422.117,821.793,682.307,1009.49,554.971,1352,367.638,479.144,365.738,2676.6,692.173,1532.42,484.227,742.34,504.638,1314.64,438.374,627.868,344.024,315.313,592.456,568.213,279.142,1267.19,547.11,627.011,722.013,2852.35,194.431,540.361,250.972,445.14,580.632,489.551,438.793,1097.28,459.758,151.159,141.958,1307.37,399.769,559.517,841.309,1036.62,1309.4,1820.14,163.519,797.936,265.077,323.047,265.902,1814.55,403.606,1317.16,311.027,1100.52,894.136,2530.11,284.511,577.492,351.674,659.549,1234.46,1493.45,1395.58,745.743,459.834,947.622,629.496,1547.98,416.224,770.621,554.747,1471.45,276.648,779.625,773.055,562.491,792.741,992.897,786.558,766.307,775.551,2159.81,1147.03,1502.36,425.351,1291.29,332.079,733.39,767.818,1273.6,593.916,643.735,257.028,564.487,957.439,1610.29,1219.93,1356.28,213.206,1124.39,555.826,792.677,413.692,1501.78,168.289,612.995,449.077,1513.62
"UBA5",23.509,38.5795,26.9495,32.5426,21.999,34.8758,27.4825,18.9082,28.637,27.8003,15.4306,23.899,42.621,NA,27.7541,23.6382,21.74,23.8448,22.7264,24.4693,23.2755,24.8491,37.5805,37.4152,32.1362,31.1851,28.3387,29.6956,31.6397,29.1109,25.6994,24.0595,26.7548,20.5432,19.7313,30.9114,15.6976,22.0934,22.8487,25.0454,20.6901,33.2643,28.9896,20.8154,30.5465,25.1451,17.2949,20.175,23.7523,28.7956,29.5068,29.8584,26.4206,28.116,29.4012,22.2036,32.6136,23.5019,21.777,22.6395,31.1664,24.0154,41.7489,36.5651,17.4964,25.3483,29.9213,28.4805,25.5323,20.88,26.6982,22.8803,38.2682,23.3963,24.6123,24.8206,19.1397,35.4487,32.5677,21.1948,38.6823,27.6768,32.7315,22.3039,23.454,21.1787,39.4458,36.1588,21.203,18.7317,18.0232,29.2514,25.5861,36.6416,20.6606,21.6086,18.2318,9.84927,29.1329,29.8055,28.6106,19.7109,28.7267,9.6005,36.3552,24.2782,26.0741,20.8369,26.5155,36.537,34.3088,22.085
"LHPP",10.4299,28.6301,33.6468,21.1404,32.1943,29.3561,106.736,120.822,67.9902,28.571,38.3633,26.0733,24.7537,122.316,NA,NA,34.8776,24.0363,27.1293,30.6749,NA,17.4672,21.81,59.7279,23.4375,28.7241,22.8831,16.8892,NA,NA,72.5057,31.9925,NA,18.6549,51.3974,80.585,27.782,37.5315,100.444,18.8062,15.2715,70.1564,16.64,15.9286,NA,17.3881,19.5039,28.6108,90.509,36.1962,63.1661,30.1768,11.1647,14.8743,13.0317,43.4269,48.2148,18.7671,55.1941,135.346,36.5264,44.5515,80.1277,20.5619,47.5641,119.411,38.0895,78.4874,80.0333,23.4328,39.8682,110.438,NA,28.1425,21.6902,17.4503,14.7959,22.6495,NA,16.9581,23.7924,39.4463,39.2535,NA,17.6877,NA,32.8232,25.5394,46.3241,24.6176,NA,64.2823,49.6764,56.0225,28.4586,92.122,NA,27.0647,44.3064,34.8597,22.3868,4.03913,95.9442,28.9777,26.0743,35.2203,105.022,56.6388,70.4638,44.6282,7.79243,51.5906
"MTFR1L",32.3302,41.2488,29.706,38.0639,9.15574,25.1485,16.1577,26.7617,28.6526,40.6495,22.8692,16.8933,27.1567,NA,28.7317,31.6814,39.5487,33.646,23.5328,28.9966,28.6597,30.4036,33.1512,30.5938,26.5931,30.7129,14.0441,21.9386,32.5059,14.727,25.5343,31.3408,28.2689,20.994,20.9696,25.6901,17.5518,27.1359,30.9886,35.9577,36.2864,33.7382,NA,21.8489,42.9283,29.8741,28.4599,25.8165,27.9246,29.5678,35.7504,41.1384,31.0928,34.9807,26.1669,29.0733,29.6678,30.2028,24.9741,28.6644,29.862,178.016,25.0292,30.4544,27.3417,16.6243,17.387,24.9767,12.77,35.0996,34.951,27.7462,26.595,35.792,30.906,38.4567,21.7724,38.3476,17.12,25.4044,30.7222,26.5586,21.8233,20.2153,18.7783,37.1431,30.057,28.3461,25.7848,33.1245,42.9474,34.1788,20.898,30.8816,27.6822,28.5597,32.5702,28.8409,34.3986,40.5394,28.4056,24.6656,23.1305,29.2247,30.9428,35.1939,22.9722,33.7511,28.0012,32.9893,26.6212,34.1375
"CLPB",52.2298,51.7985,58.3544,50.3656,34.0857,46.1007,40.0073,40.1357,40.1743,43.8836,24.7578,52.1321,42.4519,NA,49.7429,68.9886,57.4901,49.2918,46.892,37.142,43.576,55.2512,49.3472,57.4854,53.5303,58.7195,54.8354,39.4508,47.8038,45.3318,33.2615,45.4132,45.2332,32.9861,52.9746,53.6646,43.3074,48.5285,38.8167,36.1273,34.8635,56.3847,43.564,40.4621,39.1534,50.6004,27.4516,43.2346,40.6351,49.9682,46.238,44.3684,45.0062,56.8796,40.2946,46.3084,35.0951,40.7068,34.3309,21.4183,33.5305,52.6146,44.3214,48.1153,NA,NA,40.4658,44.7546,49.6943,59.6474,44.3374,50.6254,40.4257,53.2109,39.059,57.7046,31.083,56.9815,47.778,20.5503,44.3723,48.153,55.6815,32.3384,41.7146,54.8388,45.8148,51.2433,38.0661,38.5317,40.6282,47.7854,39.1287,44.5809,38.2053,55.2679,43.0376,29.6094,34.7071,43.9296,36.578,48.9937,43.4521,35.9897,51.0248,60.4533,26.1594,44.3809,43.8664,44.4974,31.7784,56.5986
"RAB33B",14.5298,NA,13.0735,22.7614,NA,24.6491,NA,NA,NA,NA,NA,20.217,NA,NA,22.3712,12.8895,NA,NA,NA,NA,NA,12.4114,NA,NA,15.184,NA,NA,14.5959,NA,NA,16.4774,NA,NA,NA,NA,15.9739,NA,NA,16.4158,NA,19.2822,15.8486,21.6811,NA,NA,33.709,NA,NA,17.4098,11.3832,13.071,12.5194,31.6649,NA,NA,NA,NA,NA,12.5534,NA,NA,NA,31.1485,NA,NA,NA,NA,19.5004,NA,NA,19.5739,NA,20.7227,13.2054,NA,NA,NA,NA,NA,16.552,NA,NA,NA,NA,NA,NA,NA,25.2006,28.4865,17.2805,NA,NA,NA,NA,22.6594,NA,NA,NA,NA,NA,13.4757,NA,36.7821,2.29027,10.5116,NA,NA,NA,27.8907,NA,NA,NA
"FAM107B",NA,NA,NA,25.1914,NA,NA,NA,NA,NA,NA,NA,NA,27.26,NA,NA,NA,NA,NA,NA,23.8468,NA,NA,NA,NA,NA,NA,NA,NA,27.0813,NA,NA,NA,NA,NA,NA,22.9027,NA,NA,25.7339,NA,NA,NA,NA,NA,NA,20.2196,NA,20.0451,NA,NA,NA,NA,NA,22.9641,NA,NA,NA,NA,NA,48.2559,26.1957,NA,33.2863,NA,NA,29.9003,28.2485,NA,NA,NA,NA,37.6163,NA,26.6659,NA,NA,NA,25.269,NA,NA,NA,19.2836,24.7845,NA,NA,NA,NA,NA,NA,NA,NA,22.4183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6981,NA,NA,NA,NA,NA,NA,NA
"KLC2",34.0865,51.0063,26.9519,38.8938,38.9577,53.7192,19.3577,45.0322,39.6257,33.3163,23.9268,55.282,40.8361,NA,36.2168,52.2534,47.8741,41.8193,37.7737,37.7286,35.0274,35.3368,37.2952,39.9564,31.3535,41.2364,44.5539,44.2645,37.8173,28.1728,35.0391,55.5174,45.6766,33.868,29.6686,42.968,NA,37.3248,29.4129,29.6094,40.6207,43.6401,35.8575,30.0882,42.9974,44.305,25.7049,45.7083,58.855,38.328,33.6096,40.7277,37.3057,54.3521,41.7082,38.9303,34.5338,52.2305,NA,NA,41.305,36.0358,41.5118,41.4703,NA,28.3127,39.482,40.3328,24.3689,32.7932,46.7912,22.341,34.4258,41.3007,45.3262,34.2693,40.9029,44.4805,38.0269,17.302,45.9659,58.4095,54.639,26.913,NA,27.7075,37.6075,45.8722,44.6212,41.7992,42.4301,42.5068,35.0757,35.2686,20.2358,45.0309,48.5247,64.8541,42.8886,38.2168,31.578,39.0914,35.5895,46.1429,41.0198,34.9988,34.1965,36.6957,27.7426,43.1849,50.7161,37.8432
"TOLLIP",152.472,121.011,187.542,136.033,161.295,157.523,194.163,167.906,143.999,131.469,184.173,142.565,131.579,155.233,144.973,142.172,158.198,170.191,162.991,175.25,181.231,187.403,160.014,159.842,152.066,174.46,167.461,167.26,147,157.665,130.96,143.135,144.043,157.364,167.354,167.343,177.185,168.806,149.161,109.773,159.054,184.42,153.379,128.467,155.411,151.7,200.365,161.966,149.583,150.116,154.569,149.189,156.95,166.582,144.583,157.436,185.998,175.711,150.79,146.517,171.268,189.759,208.206,164.815,97.2159,120.972,123.489,150.289,132.841,138.35,152.856,170.946,148.822,163.371,162.143,149.258,137.761,149.589,196.144,165.703,171.976,166.663,150.435,139.713,182.591,158.758,140.51,140.799,159.944,156.145,154.92,163.129,152.713,158.141,181.73,162.307,165.33,160.932,163.953,137.182,136.422,138.748,172.212,171.528,154.953,169.998,185.512,156.103,113.351,143.254,143.275,154.807
"PCBD2",NA,8.36282,9.62319,20.5986,11.4435,NA,16.0735,17.6705,24.2378,9.6391,NA,12.0147,11.507,NA,11.7995,12.2604,19.0073,NA,NA,15.2438,NA,NA,17.8099,13.8179,9.56364,NA,16.2938,13.9578,NA,NA,17.1194,22.2272,11.3241,7.41956,NA,NA,11.8188,NA,18.504,NA,NA,NA,NA,NA,11.436,13.8961,13.2251,10.0969,NA,NA,18.874,12.4058,NA,27.6318,5.02106,NA,19.2569,NA,NA,NA,15.5434,NA,16.6278,19.1485,NA,11.1016,11.3072,NA,19.0832,NA,6.92043,NA,NA,22.8392,NA,NA,NA,NA,NA,NA,NA,16.2708,NA,10.6787,14.4629,NA,23.5072,NA,13.2455,NA,12.1454,14.8474,17.5568,NA,NA,NA,12.8677,7.51473,18.8382,10.2776,15.5542,NA,12.2423,NA,14.1603,22.1329,NA,NA,NA,NA,NA,NA
"CYRIA",37.003,43.6437,25.7954,43.9519,45.0848,48.9184,41.1822,26.0604,32.5373,40.0665,24.2177,51.1741,49.1605,41.1829,40.2811,43.2052,35.3238,36.7877,37.7514,48.201,40.2715,40.1391,40.3209,50.1184,51.239,45.1516,49.6107,48.1778,54.2913,21.9329,54.3995,40.9263,49.7261,42.7001,36.5101,44.1518,35.2331,39.9122,41.3728,30.7773,36.5635,30.8866,41.8648,35.6584,35.6369,39.5166,32.1146,30.7919,41.8255,47.3747,43.2246,43.8562,49.8949,34.3739,40.2885,38.0159,36.1716,24.807,41.1608,45.6252,30.0291,20.8593,48.6224,46.8467,30.949,35.8673,46.9012,44.9774,46.5348,39.0895,47.7866,37.127,52.492,46.4219,26.2193,30.9668,37.0115,36.9771,39.5527,18.1899,34.0473,48.1447,45.1576,37.3403,27.5126,34.478,38.9619,36.4222,46.5446,40.2326,38.99,47.9226,28.0004,32.7151,53.9087,45.0593,40.0011,21.413,43.6331,50.7921,40.3445,32.9817,50.0446,30.7178,48.0164,44.4248,44.9096,39.3068,29.9848,49.067,46.2668,31.2433
"FXYD6",18.4253,17.9109,14.5536,20.6038,8.1576,26.6699,34.8511,23.2603,NA,16.5108,NA,17.7495,35.3902,NA,32.8952,21.9593,17.3286,NA,32.7731,29.1653,19.7755,26.393,NA,18.3667,47.0596,28.4896,32.8194,35.1932,27.6497,NA,47.2168,21.0512,37.197,17.6701,36.1135,31.0815,12.2581,38.6493,13.6107,13.2414,30.32,23.4183,25.1852,NA,15.1486,16.7154,NA,NA,32.0536,NA,18.7872,NA,50.7005,22.1733,18.8545,23.5946,17.7906,NA,38.5474,34.2827,NA,NA,32.3803,25.4506,NA,NA,21.2157,28.4517,70.0548,23.9051,NA,NA,45.1556,32.6247,26.7864,15.8596,8.11468,26.8187,NA,NA,NA,38.4871,24.0267,15.2411,NA,NA,25.0626,28.3454,39.97,NA,40.3042,20.4991,NA,NA,31.1661,28.4934,16.4024,NA,18.6606,34.9186,24.1616,NA,48.6648,NA,13.3591,12.9448,29.4362,10.6059,36.5087,24.5861,19.9668,11.4589
"HDHD2",19.3012,51.3362,47.3075,38.6081,50.7932,45.833,114.768,112.136,82.7844,60.6346,82.1875,38.8408,75.2482,95.6167,49.6373,42.2963,113.248,45.7446,76.4371,68.8212,44.1274,51.0715,70.8115,98.6124,44.7334,40.7861,33.7672,39.7873,46.8917,41.4437,77.0271,51.0246,17.8037,37.4266,49.4216,77.439,42.1424,54.4819,136.042,103.689,34.3182,40.2315,69.3749,73.1993,45.8158,50.8282,55.8972,66.3203,64.3754,79.8874,69.0486,64.3807,26.4869,33.3461,43.9272,80.4707,58.0237,49.8999,112.565,135.163,116.894,80.2971,96.2436,71.0819,170.462,169.436,87.173,94.687,115.962,60.261,74.6659,122.429,62.2764,52.6301,42.4094,48.3014,92.8778,85.5233,48.7145,52.4952,27.7022,57.3168,36.2237,44.0312,47.8425,30.8538,59.6353,37.7546,34.5595,37.3224,33.8164,39.2122,82.6217,67.6997,57.0942,97.3185,37.4478,44.1325,49.3097,40.9481,85.4538,63.9294,76.2404,31.258,31.0768,57.0096,98.9191,56.311,142.867,54.754,52.7291,43.3493
"RAB1B",60.9817,45.2617,61.668,69.9534,49.7293,67.6015,84.2234,60.2246,48.3054,67.4207,50.5124,59.8243,90.2462,41.826,91.7159,53.0495,81.8912,57.5439,72.3734,62.17,56.2481,82.4024,54.3152,66.8173,81.0632,71.8324,61.9877,72.5394,74.4375,54.52,91.4704,78.9002,73.5373,53.6226,71.3304,67.5115,52.9336,67.3423,66.0252,81.5907,90.3051,56.5213,97.0749,49.5485,57.164,85.573,77.5098,75.1372,91.7617,41.4697,53.4089,69.7329,83.6151,54.3708,51.8511,57.709,58.4409,49.1064,74.4506,37.716,47.6253,48.3053,90.4264,57.4788,64.2488,26.6785,76.7438,84.781,143.939,63.0105,58.4513,42.8542,144.444,73.2672,63.8341,48.2828,69.3283,63.5676,60.8095,34.2495,63.9914,87.3161,46.4835,60.4382,39.8985,47.2552,80.2224,54.6959,82.0495,51.2319,83.3261,68.7852,61.301,54.4717,73.77,87.2147,48.1454,32.2844,65.5572,73.979,61.6856,47.9338,120.209,37.058,64.9831,78.7091,53.3861,51.8357,103.17,59.6541,76.4384,53.9872
"NAPB",762.533,642.06,767.492,643.101,864.992,769.525,754.968,688.559,857.047,775.846,715.245,712.055,825.39,643.529,941.998,685.752,644.018,642.686,861.924,842.383,777.103,828.347,702.022,681.571,825.885,784.473,751.424,773.207,819.944,545.221,803.625,668.918,748.453,765.518,771.827,752.891,857.184,772.833,767.919,553.424,815.084,635.502,805.148,657.145,835.613,790.81,648.699,627.68,838.916,855.124,784.049,698.737,802.562,689.905,817.136,742.934,833.288,731.872,795.08,579.645,811.932,577.068,693.905,622.397,816.937,542.394,798.964,725.789,764.406,797.911,843.438,764.953,837.879,795.924,934.09,716.116,783.376,563.999,857.591,641.584,673.089,896.916,815.058,616.248,910.055,688.636,735.865,623.645,845.648,691.919,663.38,769.614,799.841,668.119,858.652,659.398,847.383,771.629,862.652,644.052,796.977,647.688,825.229,608.478,797.753,693.437,865.607,612.432,585.458,826.328,878.5,763.203
"NUCKS1",12.289,40.278,NA,18.7447,25.2855,24.5129,53.0796,61.6928,33.6709,12.9571,24.645,19.8813,25.181,NA,14.8701,11.482,29.5774,12.0113,23.6218,30.1253,15.4503,28.285,16.3473,45.8046,27.6218,32.4528,18.6564,16.4258,25.6436,9.62824,51.2052,28.9235,15.3809,16.1846,17.4802,52.1193,22.0135,39.3383,51.1983,31.2183,17.9183,39.5678,12.0101,NA,24.5411,17.1504,NA,20.8242,38.9775,9.19709,29.7166,16.6486,19.0525,20.6027,17.7738,19.2364,26.3064,20.8021,27.6895,67.9746,13.7694,NA,50.1167,21.8356,24.2789,24.1649,30.5711,37.895,18.709,17.3177,20.4756,60.7607,25.4616,18.3918,23.3168,14.236,NA,16.4526,7.05608,17.6612,11.9288,28.6928,35.1451,34.8309,15.4786,25.9035,24.6146,19.2667,31.0703,11.2358,19.8322,42.2525,9.18382,57.2946,27.5672,64.3889,31.4357,28.4638,30.3678,29.2813,16.2607,14.1706,49.0219,10.8873,25.1397,42.6913,56.3609,31.0412,48.1582,21.0377,14.0764,16.2727
"TMX4",11.7922,NA,NA,15.9515,15.7533,6.41851,18.7253,9.52128,NA,34.1818,NA,25.8871,22.9587,22.718,21.0738,11.6449,NA,8.36234,15.8162,13.1385,11.5566,22.9917,14.4345,34.9113,27.1433,23.4297,15.7252,25.424,25.524,19.2138,40.4959,19.4359,20.8572,NA,18.4822,25.8905,19.9495,17.1315,25.717,16.63,28.5225,19.3716,30.1975,NA,13.8171,20.1546,NA,14.0105,29.3791,33.4898,14.7821,19.5509,29.8813,25.4514,17.2416,21.2579,NA,9.58061,15.3526,19.4829,25.2897,NA,36.1395,16.4848,14.012,NA,22.5248,31.2627,66.4636,23.1655,12.5882,10.7157,39.5766,15.6911,8.69168,6.011,23.596,26.1426,16.759,NA,22.0337,23.3488,13.1145,20.2207,NA,11.6723,25.5314,22.9746,21.7199,13.6572,35.5061,30.7254,NA,19.0595,13.7874,26.5304,15.0538,NA,16.4537,28.134,16.174,NA,34.9825,NA,NA,14.7223,28.0765,19.4351,35.9617,26.2796,NA,17.4952
"RBSN",17.0964,16.5406,17.4646,13.913,9.21644,19.2437,NA,NA,24.9316,22.0071,NA,19.7294,27.8249,NA,NA,NA,25.5471,NA,24.8417,23.3258,29.2755,18.811,31.2104,31.5917,25.2135,15.5466,21.3388,22.0607,19.2825,17.9123,17.4577,20.3492,11.7918,24.9749,NA,14.3805,23.5246,13.9338,22.8604,18.709,17.5393,NA,23.3624,10.8679,16.6199,18.091,19.4016,NA,22.6752,21.7536,19.3787,24.81,24.7626,19.3057,23.229,NA,18.4938,21.6134,22.5935,NA,19.8455,15.9933,16.1566,NA,15.9963,11.6139,NA,17.9869,20.8196,21.8877,23.877,NA,27.5823,21.5256,23.6646,11.4947,20.7869,22.5088,25.3747,13.9168,28.9003,11.7775,19.4743,17.0494,9.69793,12.7816,18.1828,22.0099,41.2279,24.2435,30.3671,20.0816,29.5924,NA,23.5741,NA,14.4695,23.5588,NA,11.3942,21.9062,NA,NA,20.3875,23.1187,18.2266,19.3699,27.8772,14.7571,18.4877,28.1208,20.8676
"ISCU",48.9229,74.7834,79.6477,77.1637,71.0567,61.7954,59.5042,79.9914,60.4131,65.0368,85.4635,58.7136,45.4982,45.7957,51.3581,58.136,44.5767,51.4127,62.8066,62.6274,64.6286,77.1047,50.966,47.3321,55.1606,87.5462,55.9037,67.7808,47.4361,34.9614,68.4547,55.3436,58.8181,71.0418,69.1749,70.6867,81.763,57.3582,55.9052,43.7736,47.125,79.1419,56.638,64.8103,59.3507,39.938,51.5906,84.5143,61.0172,61.6502,70.4024,68.5919,52.9532,66.1291,66.1216,63.6993,87.4028,73.181,54.9108,52.3251,55.7554,37.9301,68.8643,67.1568,45.965,42.0823,51.9451,58.5764,32.2594,81.453,64.3256,70.445,54.1687,76.4998,44.1268,73.0008,69.2833,79.7522,51.4537,76.4133,49.129,64.2397,68.9114,59.9167,48.0346,72.6641,62.4117,62.004,65.6394,66.2647,56.1828,64.6221,47.8972,90.5531,60.1444,89.8862,62.2135,93.5767,54.1444,59.8412,51.3049,79.3028,64.5001,65.0619,60.6204,80.5724,70.2415,61.1925,44.643,68.8399,53.357,80.6472
"SLC25A18",22.2665,26.997,14.5846,28.785,22.1605,14.2133,NA,20.9553,23.8562,33.9602,14.9776,24.0147,26.3276,NA,33.863,27.7092,18.8946,NA,20.5069,18.7101,20.5815,14.4401,12.0175,29.6428,14.0662,15.245,20.0781,25.2309,23.5643,17.6872,NA,19.4502,18.5635,NA,22.342,15.8423,21.6498,15.8955,15.6218,NA,33.2713,29.9797,NA,32.5667,22.8877,25.6252,17.8933,25.4163,NA,16.1819,15.2873,21.8609,17.3995,27.5737,11.6698,24.3432,NA,12.0223,33.2984,18.7121,26.8505,15.6198,14.9612,23.0492,10.589,18.0869,24.7508,22.9581,26.2073,18.0604,14.7436,20.9815,20.0011,15.8921,21.3038,17.3356,NA,32.1128,7.32263,14.9718,NA,NA,24.9244,NA,11.6881,29.4089,25.5192,22.9124,21.4226,25.3701,21.2997,32.9809,28.1618,NA,11.1114,NA,29.5915,NA,20.9318,27.2201,14.2968,26.9149,16.7046,14.8873,23.9381,18.4468,NA,NA,39.0488,8.21079,32.0021,28.3164
"OSBPL2",NA,124.716,138.191,197.436,132.514,163.033,132.362,NA,NA,147.894,NA,365.441,175.178,241.185,124.47,161.254,64.8181,219.884,187.594,212.436,140.174,118.599,150.589,151.193,119.744,316.54,173.356,134.412,129.16,366.374,63.1772,138.125,72.4107,111.938,204.458,141.874,123.377,155.515,91.7602,50.3947,56.0925,271.87,114.735,201.594,198.741,193.384,NA,280.943,59.5236,199.711,84.1282,134.224,82.7124,329.793,100.791,321.66,96.2246,286.841,236.432,699.482,148.242,202.324,100.076,155.468,183.057,NA,185.014,150.41,108.493,333.936,115.97,271.028,112.114,230,130.892,293.884,80.4275,259.501,176.569,214.011,136.391,193.278,194.665,211.326,123.911,321.279,159.935,290.778,88.6825,221.73,211.211,144.543,122.343,NA,151.387,192.927,96.2173,NA,187.198,269.357,110.83,110.605,90.7229,357.915,151.096,161.428,108.198,328.47,44.0618,183.198,86.4897,295.152
"SLC6A17",139.042,201.494,380.97,248.362,172.25,278.872,303.585,179.753,NA,268.153,306.625,217.446,364.825,700.932,285.408,281.035,193.835,353.82,297.787,240.359,211.003,308.952,NA,318.387,341.729,351.384,288.358,306.681,334.472,342.155,392.714,349.654,236.387,167.964,268.094,565.377,148.064,297.802,217.722,251.695,218.056,237.686,264.053,460.026,193.137,170.504,NA,329.571,322.508,209.688,247.786,288.808,359.88,281.746,106.463,248.836,204.252,NA,263.545,NA,354.374,NA,310.212,204.481,301.749,NA,270.812,312.993,503.805,265.488,311.682,189.71,505.499,273.5,237.169,166.922,305.005,245.67,549.776,355.504,302.526,369.263,362.896,267.596,358.733,259.955,367.564,312.614,399.651,257.515,369.529,333.558,NA,271.476,258.127,387.758,230.703,NA,284.051,430.334,223.262,317.843,361.598,NA,225.57,282.197,197.305,NA,396.192,268.43,91.9307,261.459
"ATG5",39.2598,27.2397,NA,28.4963,22.3714,42.6799,NA,NA,26.8947,33.6068,NA,19.3178,23.6732,NA,37.4079,36.3765,NA,29.1355,32.7489,26.2437,26.9332,NA,NA,33.6137,40.9974,26.9595,32.8053,30.5376,34.049,66.0475,50.8455,29.016,NA,42.9427,NA,19.491,5.36428,26.0643,NA,23.2601,22.4821,23.6664,30.3271,NA,28.091,36.0862,37.9288,NA,30.5129,27.3455,21.5948,17.9575,26.8918,34.7842,30.6318,NA,28.0994,NA,NA,NA,34.9384,39.34,26.6466,23.0487,NA,NA,27.4807,24.113,NA,26.7859,NA,NA,NA,NA,25.4278,31.7881,33.7636,29.7677,34.8324,20.1708,35.1715,29.4238,18.0643,22.1736,32.946,31.3982,25.0229,30.5617,NA,NA,NA,36.2265,33.3978,25.6744,NA,21.4354,42.1774,NA,9.50427,25.1731,26.225,24.411,19.1007,28.7515,40.5315,32.4091,30.8686,NA,19.9333,31.7619,NA,NA
